timestamp,gsr,bpm,interval,label
1776966392625,357,99,0,планка
1776966393329,358,99,0,планка
1776966393330,358,99,0,планка
1776966393331,358,99,0,планка
1776966393332,358,99,0,планка
1776966393332,359,99,0,планка
1776966393332,359,99,0,планка
1776966393333,359,99,0,планка
1776966393333,360,99,0,планка
1776966393334,360,99,0,планка
1776966393334,360,99,0,планка
1776966393615,360,100,0,планка
1776966394349,360,100,0,планка
1776966394350,361,100,0,планка
1776966394351,361,100,0,планка
1776966394351,361,100,0,планка
1776966394352,361,100,0,планка
1776966394353,361,100,0,планка
1776966394354,361,100,0,планка
1776966394354,356,100,0,планка
1776966394355,334,100,0,планка
1776966394356,293,100,0,планка
1776966394604,293,98,0,планка
1776966395361,290,98,0,планка
1776966395362,362,98,0,планка
1776966395363,362,98,0,планка
1776966395363,355,98,0,планка
1776966395364,362,98,0,планка
1776966395365,337,98,0,планка
1776966395365,370,98,0,планка
1776966395366,365,98,0,планка
1776966395366,379,98,0,планка
1776966395367,391,98,0,планка
1776966395367,432,98,0,планка
1776966395595,432,99,0,планка
1776966396374,548,99,0,планка
1776966396375,621,99,0,планка
1776966396375,479,99,0,планка
1776966396375,366,99,0,планка
1776966396376,509,99,0,планка
1776966396376,450,99,0,планка
1776966396377,396,99,0,планка
1776966396377,376,99,0,планка
1776966396378,361,99,0,планка
1776966396378,357,99,0,планка
1776966396584,357,100,0,планка
1776966397390,355,100,0,планка
1776966397391,354,100,0,планка
1776966397391,358,100,0,планка
1776966397391,362,100,0,планка
1776966397392,366,100,0,планка
1776966397392,368,100,0,планка
1776966397393,371,100,0,планка
1776966397393,381,100,0,планка
1776966397395,369,100,0,планка
1776966397395,367,100,0,планка
1776966397575,367,101,0,планка
1776966398405,352,101,0,планка
1776966398406,367,101,0,планка
1776966398406,316,101,0,планка
1776966398407,355,101,0,планка
1776966398407,356,101,0,планка
1776966398409,354,101,0,планка
1776966398410,354,101,0,планка
1776966398410,351,101,0,планка
1776966398411,351,101,0,планка
1776966398411,348,101,0,планка
1776966398564,348,104,0,планка
1776966399423,349,104,0,планка
1776966399424,349,104,0,планка
1776966399424,348,104,0,планка
1776966399425,338,104,0,планка
1776966399427,348,104,0,планка
1776966399428,348,104,0,планка
1776966399428,348,104,0,планка
1776966399429,348,104,0,планка
1776966399429,348,104,0,планка
1776966399429,349,104,0,планка
1776966399555,349,104,0,планка
1776966400440,350,104,0,планка
1776966400441,351,104,0,планка
1776966400441,353,104,0,планка
1776966400442,354,104,0,планка
1776966400442,354,104,0,планка
1776966400443,355,104,0,планка
1776966400444,356,104,0,планка
1776966400444,353,104,0,планка
1776966400445,356,104,0,планка
1776966400445,356,104,0,планка
1776966400445,356,104,0,планка
1776966400545,356,104,0,планка
1776966401452,357,104,0,планка
1776966401452,356,104,0,планка
1776966401453,356,104,0,планка
1776966401453,355,104,0,планка
1776966401453,354,104,0,планка
1776966401454,353,104,0,планка
1776966401454,352,104,0,планка
1776966401454,351,104,0,планка
1776966401455,350,104,0,планка
1776966401455,348,104,0,планка
1776966401536,348,103,0,планка
1776966402471,347,103,0,планка
1776966402472,345,103,0,планка
1776966402473,345,103,0,планка
1776966402474,343,103,0,планка
1776966402475,342,103,0,планка
1776966402476,341,103,0,планка
1776966402476,339,103,0,планка
1776966402477,338,103,0,планка
1776966402477,337,103,0,планка
1776966402478,336,103,0,планка
1776966402526,336,103,0,планка
1776966403493,336,103,0,планка
1776966403495,335,103,0,планка
1776966403497,334,103,0,планка
1776966403498,333,103,0,планка
1776966403498,331,103,0,планка
1776966403499,331,103,0,планка
1776966403499,330,103,0,планка
1776966403500,329,103,0,планка
1776966403500,318,103,0,планка
1776966403501,329,103,0,планка
1776966403516,329,105,0,планка
1776966404505,329,107,0,планка
1776966404513,328,107,0,планка
1776966404514,322,107,0,планка
1776966404515,327,107,0,планка
1776966404515,326,107,0,планка
1776966404516,326,107,0,планка
1776966404516,326,107,0,планка
1776966404516,326,107,0,планка
1776966404517,324,107,0,планка
1776966404518,317,107,0,планка
1776966404519,326,107,0,планка
1776966405496,326,110,0,планка
1776966405536,332,110,0,планка
1776966405537,326,110,0,планка
1776966405537,326,110,0,планка
1776966405538,316,110,0,планка
1776966405538,326,110,0,планка
1776966405539,326,110,0,планка
1776966405540,326,110,0,планка
1776966405540,326,110,0,планка
1776966405541,325,110,0,планка
1776966405541,326,110,0,планка
1776966405542,327,110,0,планка
1776966406485,327,112,0,планка
1776966406556,324,112,0,планка
1776966406557,325,112,0,планка
1776966406558,325,112,0,планка
1776966406559,325,112,0,планка
1776966406560,325,112,0,планка
1776966406561,325,112,0,планка
1776966406561,324,112,0,планка
1776966406562,324,112,0,планка
1776966406563,324,112,0,планка
1776966406564,324,112,0,планка
1776966407476,324,112,0,планка
1776966407575,323,112,0,планка
1776966407576,323,112,0,планка
1776966407576,323,112,0,планка
1776966407577,323,112,0,планка
1776966407578,322,112,0,планка
1776966407579,322,112,0,планка
1776966407580,322,112,0,планка
1776966407581,321,112,0,планка
1776966407582,321,112,0,планка
1776966407582,322,112,0,планка
1776966408465,322,112,0,планка
1776966408596,320,112,0,планка
1776966408597,320,112,0,планка
1776966408597,320,112,0,планка
1776966408598,318,112,0,планка
1776966408598,319,112,0,планка
1776966408599,320,112,0,планка
1776966408601,320,112,0,планка
1776966408602,313,112,0,планка
1776966408603,308,112,0,планка
1776966408604,319,112,0,планка
1776966409454,319,110,0,планка
1776966409618,319,110,0,планка
1776966409619,319,110,0,планка
1776966409620,319,110,0,планка
1776966409623,319,110,0,планка
1776966409623,319,110,0,планка
1776966409624,319,110,0,планка
1776966409625,344,110,0,планка
1776966409625,281,110,0,планка
1776966409626,319,110,0,планка
1776966409626,290,110,0,планка
1776966410445,290,111,0,планка
1776966410640,320,111,0,планка
1776966410641,320,111,0,планка
1776966410642,320,111,0,планка
1776966410643,321,111,0,планка
1776966410644,315,111,0,планка
1776966410645,283,111,0,планка
1776966410646,299,111,0,планка
1776966410647,309,111,0,планка
1776966410647,310,111,0,планка
1776966410648,293,111,0,планка
1776966411434,293,111,0,планка
1776966411662,317,111,0,планка
1776966411663,289,111,0,планка
1776966411664,298,111,0,планка
1776966411665,292,111,0,планка
1776966411666,272,111,0,планка
1776966411667,293,111,0,планка
1776966411667,392,111,0,планка
1776966411668,330,111,0,планка
1776966411669,297,111,0,планка
1776966411669,263,111,0,планка
1776966411670,284,111,0,планка
1776966412424,284,111,0,планка
1776966412680,315,111,0,планка
1776966412681,295,111,0,планка
1776966412681,293,111,0,планка
1776966412682,283,111,0,планка
1776966412685,285,111,0,планка
1776966412686,288,111,0,планка
1776966412687,321,111,0,планка
1776966412687,311,111,0,планка
1776966412688,258,111,0,планка
1776966412688,261,111,0,планка
1776966413415,261,112,0,планка
1776966413699,290,112,0,планка
1776966413700,314,112,0,планка
1776966413701,320,112,0,планка
1776966413702,317,112,0,планка
1776966413703,319,112,0,планка
1776966413704,317,112,0,планка
1776966413705,320,112,0,планка
1776966413705,322,112,0,планка
1776966413706,319,112,0,планка
1776966413706,320,112,0,планка
1776966414405,320,112,0,планка
1776966414718,319,112,0,планка
1776966414719,320,112,0,планка
1776966414721,314,112,0,планка
1776966414721,328,112,0,планка
1776966414723,312,112,0,планка
1776966414723,303,112,0,планка
1776966414724,313,112,0,планка
1776966414725,351,112,0,планка
1776966414725,332,112,0,планка
1776966414726,299,112,0,планка
1776966415395,299,113,0,планка
1776966415738,316,113,0,планка
1776966415739,320,113,0,планка
1776966415739,331,113,0,планка
1776966415740,306,113,0,планка
1776966415740,321,113,0,планка
1776966415741,328,113,0,планка
1776966415741,327,113,0,планка
1776966415742,327,113,0,планка
1776966415745,326,113,0,планка
1776966415746,302,113,0,планка
1776966416385,302,113,0,планка
1776966416759,325,113,0,планка
1776966416760,337,113,0,планка
1776966416761,321,113,0,планка
1776966416762,273,113,0,планка
1776966416762,241,113,0,планка
1776966416763,268,113,0,планка
1776966416763,312,113,0,планка
1776966416764,304,113,0,планка
1776966416764,312,113,0,планка
1776966416765,321,113,0,планка
1776966417375,321,113,0,планка
1776966417780,296,113,0,планка
1776966417781,310,113,0,планка
1776966417782,326,113,0,планка
1776966417782,326,113,0,планка
1776966417783,359,113,0,планка
1776966417784,324,113,0,планка
1776966417786,250,113,0,планка
1776966417787,306,113,0,планка
1776966417788,301,113,0,планка
1776966417788,306,113,0,планка
1776966417789,283,113,0,планка
1776966418364,283,112,0,планка
1776966418802,278,112,0,планка
1776966418802,256,112,0,планка
1776966418803,204,112,0,планка
1776966418804,258,112,0,планка
1776966418807,306,112,0,планка
1776966418808,320,112,0,планка
1776966418808,320,112,0,планка
1776966418809,318,112,0,планка
1776966418809,296,112,0,планка
1776966418810,322,112,0,планка
1776966419355,322,110,0,планка
1776966419822,294,110,0,планка
1776966419824,317,110,0,планка
1776966419824,323,110,0,планка
1776966419828,323,110,0,планка
1776966419828,323,110,0,планка
1776966419829,319,110,0,планка
1776966419829,318,110,0,планка
1776966419830,316,110,0,планка
1776966419831,317,110,0,планка
1776966419831,309,110,0,планка
1776966420839,302,110,0,планка
1776966420840,292,110,0,планка
1776966420841,277,110,0,планка
1776966420841,283,110,0,планка
1776966420842,296,110,0,планка
1776966420842,296,110,0,планка
1776966420843,309,110,0,планка
1776966420844,313,110,0,планка
1776966420844,308,110,0,планка
1776966420846,302,110,0,планка
1776966421334,302,109,0,планка
1776966421335,302,110,0,планка
1776966421860,305,110,0,планка
1776966421861,302,110,0,планка
1776966421862,294,110,0,планка
1776966421862,293,110,0,планка
1776966421863,295,110,0,планка
1776966421863,329,110,0,планка
1776966421864,329,110,0,планка
1776966421865,329,110,0,планка
1776966421868,330,110,0,планка
1776966421868,330,110,0,планка
1776966421869,330,110,0,планка
1776966422880,330,110,0,планка
1776966422881,331,110,0,планка
1776966422882,331,110,0,планка
1776966422882,331,110,0,планка
1776966422883,331,110,0,планка
1776966422886,332,110,0,планка
1776966422887,332,110,0,планка
1776966422887,332,110,0,планка
1776966422888,333,110,0,планка
1776966422888,333,110,0,планка
1776966423315,333,112,0,планка
1776966423316,333,115,0,планка
1776966423901,333,115,0,планка
1776966423901,333,115,0,планка
1776966423902,333,115,0,планка
1776966423903,334,115,0,планка
1776966423903,334,115,0,планка
1776966423903,334,115,0,планка
1776966423904,334,115,0,планка
1776966423905,333,115,0,планка
1776966423908,333,115,0,планка
1776966423908,333,115,0,планка
1776966424304,333,117,0,планка
1776966424920,332,117,0,планка
1776966424921,327,117,0,планка
1776966424921,331,117,0,планка
1776966424922,331,117,0,планка
1776966424922,321,117,0,планка
1776966424923,325,117,0,планка
1776966424923,326,117,0,планка
1776966424924,323,117,0,планка
1776966424924,324,117,0,планка
1776966424927,323,117,0,планка
1776966425295,323,118,0,планка
1776966425939,325,118,0,планка
1776966425940,327,118,0,планка
1776966425941,323,118,0,планка
1776966425941,322,118,0,планка
1776966425943,321,118,0,планка
1776966425944,321,118,0,планка
1776966425944,321,118,0,планка
1776966425945,320,118,0,планка
1776966425946,320,118,0,планка
1776966425946,320,118,0,планка
1776966426284,320,118,0,планка
1776966426959,319,118,0,планка
1776966426960,318,118,0,планка
1776966426960,321,118,0,планка
1776966426961,318,118,0,планка
1776966426961,320,118,0,планка
1776966426962,319,118,0,планка
1776966426962,318,118,0,планка
1776966426963,317,118,0,планка
1776966426963,318,118,0,планка
1776966426964,318,118,0,планка
1776966426964,318,118,0,планка
1776966427274,318,119,0,планка
1776966427975,318,119,0,планка
1776966427975,318,119,0,планка
1776966427976,318,119,0,планка
1776966427977,318,119,0,планка
1776966427977,318,119,0,планка
1776966427981,318,119,0,планка
1776966427982,318,119,0,планка
1776966427983,318,119,0,планка
1776966427983,318,119,0,планка
1776966427984,318,119,0,планка
1776966428264,318,119,0,планка
1776966428997,318,119,0,планка
1776966428997,318,119,0,планка
1776966428998,318,119,0,планка
1776966428998,318,119,0,планка
1776966428999,319,119,0,планка
1776966428999,319,119,0,планка
1776966429000,319,119,0,планка
1776966429000,319,119,0,планка
1776966429001,317,119,0,планка
1776966429004,319,119,0,планка
1776966429254,319,119,0,планка
1776966430018,318,119,0,планка
1776966430019,317,119,0,планка
1776966430019,318,119,0,планка
1776966430020,315,119,0,планка
1776966430020,315,119,0,планка
1776966430021,307,119,0,планка
1776966430021,306,119,0,планка
1776966430022,318,119,0,планка
1776966430024,317,119,0,планка
1776966430025,316,119,0,планка
1776966430244,316,119,0,планка
1776966431037,316,119,0,планка
1776966431038,316,119,0,планка
1776966431039,316,119,0,планка
1776966431039,314,119,0,планка
1776966431040,314,119,0,планка
1776966431040,314,119,0,планка
1776966431042,313,119,0,планка
1776966431043,314,119,0,планка
1776966431044,313,119,0,планка
1776966431045,313,119,0,планка
1776966431234,313,120,0,планка
1776966432058,313,120,0,планка
1776966432059,312,120,0,планка
1776966432061,311,120,0,планка
1776966432063,312,120,0,планка
1776966432064,310,120,0,планка
1776966432065,306,120,0,планка
1776966432066,310,120,0,планка
1776966432066,309,120,0,планка
1776966432067,310,120,0,планка
1776966432067,314,120,0,планка
1776966432068,314,120,0,планка
1776966432224,314,122,0,планка
1776966433079,314,122,0,планка
1776966433080,314,122,0,планка
1776966433080,314,122,0,планка
1776966433081,314,122,0,планка
1776966433081,314,122,0,планка
1776966433082,314,122,0,планка
1776966433082,314,122,0,планка
1776966433082,314,122,0,планка
1776966433083,315,122,0,планка
1776966433083,315,122,0,планка
1776966433213,315,123,0,планка
1776966434100,315,123,0,планка
1776966434101,315,123,0,планка
1776966434102,315,123,0,планка
1776966434102,315,123,0,планка
1776966434103,315,123,0,планка
1776966434103,315,123,0,планка
1776966434104,316,123,0,планка
1776966434104,316,123,0,планка
1776966434105,316,123,0,планка
1776966434107,316,123,0,планка
1776966434204,316,124,0,планка
1776966435120,316,124,0,планка
1776966435121,317,124,0,планка
1776966435121,317,124,0,планка
1776966435122,317,124,0,планка
1776966435122,317,124,0,планка
1776966435123,317,124,0,планка
1776966435123,318,124,0,планка
1776966435124,318,124,0,планка
1776966435124,318,124,0,планка
1776966435125,318,124,0,планка
1776966435193,318,125,0,планка
1776966436140,318,125,0,планка
1776966436141,319,125,0,планка
1776966436142,319,125,0,планка
1776966436142,319,125,0,планка
1776966436142,320,125,0,планка
1776966436143,320,125,0,планка
1776966436143,320,125,0,планка
1776966436144,320,125,0,планка
1776966436145,321,125,0,планка
1776966436145,321,125,0,планка
1776966436184,321,126,0,планка
1776966437147,321,126,0,планка
1776966437147,322,126,0,планка
1776966437148,322,126,0,планка
1776966437148,322,126,0,планка
1776966437149,322,126,0,планка
1776966437149,323,126,0,планка
1776966437150,323,126,0,планка
1776966437150,323,126,0,планка
1776966437151,323,126,0,планка
1776966437151,324,126,0,планка
1776966437152,324,126,0,планка
1776966437669,324,125,0,планка
1776966438167,324,125,0,планка
1776966438168,325,125,0,планка
1776966438168,325,125,0,планка
1776966438169,325,125,0,планка
1776966438169,326,125,0,планка
1776966438170,326,125,0,планка
1776966438170,326,125,0,планка
