timestamp,gsr,ecg,interval,label
1773668992587,383,-78,0,степ
1773668992609,383,-64,0,степ
1773668992611,383,-49,0,степ
1773668992613,383,-41,0,степ
1773668992615,383,-36,0,степ
1773668992616,383,-34,0,степ
1773668992618,383,-36,0,степ
1773668992619,383,-49,0,степ
1773668992620,383,-64,0,степ
1773668992622,383,-88,0,степ
1773668992623,383,-118,0,степ
1773668992625,383,-138,0,степ
1773668992626,383,-160,0,степ
1773668992628,383,-175,0,степ
1773668992629,383,-177,0,степ
1773668992629,383,-177,0,степ
1773668992630,383,-182,0,степ
1773668992631,383,-177,0,степ
1773668992632,383,-175,0,степ
1773668992633,383,-180,0,степ
1773668992634,383,-172,0,степ
1773668992635,383,-160,0,степ
1773668992645,383,-152,0,степ
1773668992646,383,-155,0,степ
1773668992647,383,-157,0,степ
1773668992648,383,-155,0,степ
1773668992649,383,-152,0,степ
1773668992650,383,-150,0,степ
1773668992650,383,-138,0,степ
1773668992651,383,-138,0,степ
1773668992652,383,-155,0,степ
1773668992653,383,-157,0,степ
1773668992654,383,-143,0,степ
1773668992655,383,-138,0,степ
1773668992656,383,-140,0,степ
1773668992657,383,-133,0,степ
1773668992658,383,-125,0,степ
1773668992659,383,-130,0,степ
1773668992660,383,-128,0,степ
1773668992661,383,-120,0,степ
1773668992662,383,-123,0,степ
1773668992663,383,-128,0,степ
1773668992663,383,-125,0,степ
1773668992664,383,-128,0,степ
1773668992665,383,-128,0,степ
1773668992666,383,-147,0,степ
1773668992667,383,-224,0,степ
1773668992667,383,-258,0,степ
1773668992668,383,-22,0,степ
1773668992669,383,456,0,степ
1773668992670,383,830,0,степ
1773668992671,383,752,0,степ
1773668992672,383,268,0,степ
1773668992673,383,-145,0,степ
1773668992674,383,-224,0,степ
1773668992675,383,-204,0,степ
1773668992676,383,-251,0,степ
1773668992677,383,-249,0,степ
1773668992678,383,-216,0,степ
1773668992678,383,-221,0,степ
1773668992679,383,-216,0,степ
1773668992680,383,-199,0,степ
1773668992681,383,-194,0,степ
1773668992682,383,-189,0,степ
1773668992682,383,-180,0,степ
1773668992683,383,-175,0,степ
1773668992684,383,-170,0,степ
1773668992685,383,-162,0,степ
1773668992686,383,-155,0,степ
1773668992687,383,-147,0,степ
1773668992688,383,-133,0,степ
1773668992689,383,-123,0,степ
1773668992690,383,-113,0,степ
1773668992692,383,-93,0,степ
1773668992693,384,-93,0,степ
1773668992800,383,-93,0,степ
1773668992900,383,-93,0,степ
1773668993002,384,-93,0,степ
1773668993081,383,-93,0,степ
1773668993148,383,-81,0,степ
1773668993150,383,-73,0,степ
1773668993151,383,-66,0,степ
1773668993152,383,-61,0,степ
1773668993154,383,-64,0,степ
1773668993155,383,-71,0,степ
1773668993156,383,-81,0,степ
1773668993158,383,-98,0,степ
1773668993160,383,-123,0,степ
1773668993161,383,-150,0,степ
1773668993162,383,-162,0,степ
1773668993163,383,-167,0,степ
1773668993164,383,-172,0,степ
1773668993166,383,-177,0,степ
1773668993167,383,-177,0,степ
1773668993168,383,-172,0,степ
1773668993169,383,-172,0,степ
1773668993171,383,-170,0,степ
1773668993172,383,-162,0,степ
1773668993173,383,-157,0,степ
1773668993174,383,-160,0,степ
1773668993176,383,-165,0,степ
1773668993177,383,-167,0,степ
1773668993179,383,-160,0,степ
1773668993180,383,-147,0,степ
1773668993181,383,-150,0,степ
1773668993182,383,-155,0,степ
1773668993183,383,-157,0,степ
1773668993184,383,-145,0,степ
1773668993185,383,-133,0,степ
1773668993186,383,-140,0,степ
1773668993187,383,-143,0,степ
1773668993189,383,-130,0,степ
1773668993190,383,-135,0,степ
1773668993191,383,-147,0,степ
1773668993193,383,-147,0,степ
1773668993194,383,-138,0,степ
1773668993195,383,-125,0,степ
1773668993196,383,-123,0,степ
1773668993197,383,-130,0,степ
1773668993199,383,-135,0,степ
1773668993200,383,-133,0,степ
1773668993201,383,-123,0,степ
1773668993203,383,-123,0,степ
1773668993205,383,-130,0,степ
1773668993206,383,-128,0,степ
1773668993208,383,-118,0,степ
1773668993210,383,-123,0,степ
1773668993213,383,-172,0,степ
1773668993215,383,-249,0,степ
1773668993218,383,-165,0,степ
1773668993219,383,221,0,степ
1773668993221,383,697,0,степ
1773668993222,383,858,0,степ
1773668993222,383,525,0,степ
1773668993223,383,9,0,степ
1773668993224,383,-219,0,степ
1773668993225,383,-202,0,степ
1773668993226,383,-221,0,степ
1773668993227,383,-251,0,степ
1773668993227,383,-224,0,степ
1773668993228,383,-214,0,степ
