timestamp,gsr,ecg,interval
1776458445704,336,-141,0
1776458445705,337,-141,0
1776458445705,337,-141,0
1776458445706,337,-141,0
1776458445706,337,-141,0
1776458445707,338,-141,0
1776458445707,339,-141,0
1776458445708,342,-141,0
1776458445708,349,-141,0
1776458445709,355,-141,0
1776458445855,355,-138,0
1776458445855,355,-143,0
1776458445856,355,-111,0
1776458445857,355,-86,0
1776458445858,355,-59,0
1776458445859,355,-42,0
1776458445860,355,-56,0
1776458445861,355,-66,0
1776458445861,355,-71,0
1776458445862,355,-111,0
1776458445863,355,-148,0
1776458445863,355,-166,0
1776458445871,355,-215,0
1776458445872,355,-280,0
1776458445873,355,-294,0
1776458445874,355,-297,0
1776458445874,355,-304,0
1776458445875,355,-297,0
1776458445876,355,-302,0
1776458445876,355,-324,0
1776458445877,355,-317,0
1776458445877,355,-307,0
1776458445878,355,-307,0
1776458445879,355,-294,0
1776458445879,355,-292,0
1776458445880,355,-292,0
1776458445880,355,-287,0
1776458445881,355,-277,0
1776458445882,355,-270,0
1776458445882,355,-267,0
1776458445883,355,-270,0
1776458445884,355,-265,0
1776458445884,355,-250,0
1776458445885,355,-240,0
1776458445886,355,-252,0
1776458445886,355,-260,0
1776458445887,355,-242,0
1776458445887,355,-242,0
1776458445888,355,-260,0
1776458445889,355,-260,0
1776458445889,355,-250,0
1776458445890,355,-245,0
1776458445891,355,-235,0
1776458445891,355,-230,0
1776458445892,355,-242,0
1776458445892,355,-225,0
1776458445893,355,-183,0
1776458445894,355,-195,0
1776458445894,355,-227,0
1776458445895,355,-230,0
1776458445895,355,-240,0
1776458445896,355,-237,0
1776458445897,355,-218,0
1776458445897,355,-223,0
1776458445898,355,-240,0
1776458445898,355,-250,0
1776458445899,355,-113,0
1776458445900,355,213,0
1776458445900,355,237,0
1776458445901,355,-267,0
1776458445902,355,-562,0
1776458445902,355,-354,0
1776458445903,355,-223,0
1776458445903,355,-262,0
1776458445904,355,-227,0
1776458445905,355,-190,0
1776458445905,355,-210,0
1776458445906,355,-218,0
1776458445907,355,-190,0
1776458445907,355,-170,0
1776458445908,355,-185,0
1776458445908,355,-188,0
1776458445909,355,-158,0
1776458446348,355,-146,0
1776458446349,355,-166,0
1776458446350,355,-163,0
1776458446351,355,-156,0
1776458446352,355,-166,0
1776458446353,355,-151,0
1776458446354,355,-136,0
1776458446355,355,-131,0
1776458446356,355,-52,0
1776458446356,355,19,0
1776458446357,355,-17,0
1776458446358,355,-37,0
1776458446359,355,12,0
1776458446360,355,-2,0
1776458446361,355,-94,0
1776458446362,355,-84,0
1776458446362,355,-29,0
1776458446363,355,-109,0
1776458446364,355,-237,0
1776458446365,355,-272,0
1776458446372,355,-282,0
1776458446373,355,-356,0
1776458446374,355,-346,0
1776458446376,355,-185,0
1776458446377,355,-138,0
1776458446378,355,-235,0
1776458446379,355,-257,0
1776458446380,355,-250,0
1776458446380,355,-324,0
1776458446381,355,-356,0
1776458446382,355,-324,0
1776458446383,355,-294,0
1776458446383,355,-170,0
1776458446384,355,-81,0
1776458446385,355,-178,0
1776458446386,355,-210,0
1776458446387,355,-91,0
1776458446388,355,-89,0
1776458446389,355,-188,0
1776458446390,355,-227,0
1776458446391,355,-198,0
1776458446391,355,-138,0
1776458446392,355,-138,0
1776458446393,355,-148,0
1776458446394,355,-91,0
1776458446394,355,-79,0
1776458446395,355,-173,0
1776458446396,355,-230,0
1776458446397,355,-138,0
1776458446397,355,-37,0
1776458446398,355,-94,0
1776458446399,355,-173,0
1776458446400,355,-173,0
1776458446400,355,-109,0
1776458446402,355,-54,0
1776458446403,355,-131,0
1776458446404,355,-136,0
1776458446405,355,-27,0
1776458446406,355,-106,0
1776458446407,355,-200,0
1776458446407,355,-133,0
1776458446408,355,-138,0
1776458446409,355,-141,0
1776458446410,355,-52,0
1776458446410,355,111,0
1776458446411,355,302,0
1776458446412,355,109,0
1776458446413,355,-376,0
1776458446414,355,-475,0
1776458446415,355,-257,0
1776458446416,355,-170,0
1776458446416,355,-146,0
1776458446417,355,-91,0
1776458446715,354,-91,0
1776458446716,353,-91,0
1776458446717,353,-91,0
1776458446719,353,-91,0
1776458446720,355,-91,0
1776458446721,357,-91,0
1776458446723,356,-91,0
1776458446724,354,-91,0
1776458446725,352,-91,0
1776458446726,349,-91,0
1776458446933,349,-106,0
1776458446935,349,-133,0
1776458446936,349,-99,0
1776458446937,349,-79,0
1776458446938,349,-116,0
1776458446939,349,-138,0
1776458446940,349,-116,0
1776458446941,349,-86,0
1776458446942,349,-89,0
1776458446942,349,-94,0
1776458446943,349,-79,0
1776458446944,349,-66,0
1776458446945,349,-56,0
1776458446945,349,-29,0
1776458446946,349,-4,0
1776458446947,349,-2,0
1776458446947,349,12,0
1776458446948,349,44,0
1776458446949,349,66,0
1776458446949,349,66,0
1776458446950,349,54,0
1776458446951,349,47,0
1776458446953,349,32,0
1776458446954,349,-9,0
1776458446955,349,-71,0
1776458446955,349,-126,0
1776458446956,349,-173,0
1776458446957,349,-223,0
1776458446958,349,-265,0
1776458446958,349,-272,0
1776458446959,349,-284,0
1776458446960,349,-314,0
1776458446960,349,-312,0
1776458446961,349,-287,0
1776458446962,349,-287,0
1776458446962,349,-272,0
1776458446963,349,-245,0
1776458446964,349,-280,0
1776458446965,349,-332,0
1776458446965,349,-319,0
1776458446966,349,-292,0
1776458446967,349,-284,0
1776458446968,349,-272,0
1776458446969,349,-257,0
1776458446970,349,-225,0
1776458446971,349,-198,0
1776458446972,349,-275,0
1776458446972,349,-344,0
1776458446973,349,-272,0
1776458446974,349,-227,0
1776458446974,349,-275,0
1776458446975,349,-292,0
1776458446976,349,-267,0
1776458446977,349,-260,0
1776458446977,349,-265,0
1776458446978,349,-265,0
1776458446979,349,-260,0
1776458446979,349,-252,0
1776458446980,349,-270,0
1776458446981,349,-294,0
1776458446981,349,-280,0
1776458446982,349,-235,0
1776458446983,349,-230,0
1776458446984,349,-227,0
1776458446985,349,-208,0
1776458446987,349,-227,0
1776458446988,349,-280,0
1776458446989,349,-307,0
1776458446990,349,-282,0
1776458446990,349,-247,0
1776458446991,349,-257,0
1776458446992,349,-292,0
1776458446993,349,-275,0
1776458447520,349,-69,0
1776458447521,349,267,0
1776458447522,349,178,0
1776458447523,349,-396,0
1776458447524,349,-631,0
1776458447525,349,-396,0
1776458447526,349,-262,0
1776458447527,349,-289,0
1776458447527,349,-292,0
1776458447528,349,-272,0
1776458447529,349,-250,0
1776458447530,349,-240,0
1776458447530,349,-235,0
1776458447531,349,-220,0
1776458447532,349,-210,0
1776458447533,349,-213,0
1776458447533,349,-208,0
1776458447534,349,-190,0
1776458447535,349,-188,0
1776458447536,349,-185,0
1776458447537,349,-161,0
1776458447538,349,-148,0
