timestamp,gsr,ecg,interval,label
1775165813595,409,-579,0,пресс
1775165813596,409,-579,0,пресс
1775165813596,408,-579,0,пресс
1775165813597,413,-579,0,пресс
1775165813597,410,-579,0,пресс
1775165813598,407,-579,0,пресс
1775165813598,408,-579,0,пресс
1775165813599,408,-579,0,пресс
1775165813599,415,-579,0,пресс
1775165813600,407,-579,0,пресс
1775165813747,407,-522,0,пресс
1775165813747,407,-483,0,пресс
1775165813748,407,-361,0,пресс
1775165813749,407,-317,0,пресс
1775165813750,407,-265,0,пресс
1775165813751,407,-215,0,пресс
1775165813752,407,-356,0,пресс
1775165813752,407,-351,0,пресс
1775165813753,407,-188,0,пресс
1775165813753,407,-294,0,пресс
1775165813754,407,-403,0,пресс
1775165813763,407,-240,0,пресс
1775165813764,407,-156,0,пресс
1775165813764,407,-267,0,пресс
1775165813765,407,-294,0,пресс
1775165813765,407,-151,0,пресс
1775165813766,407,-91,0,пресс
1775165813766,407,-230,0,пресс
1775165813767,407,-314,0,пресс
1775165813767,407,-138,0,пресс
1775165813768,407,17,0,пресс
1775165813768,407,-133,0,пресс
1775165813768,407,-232,0,пресс
1775165813769,407,-148,0,пресс
1775165813769,407,-133,0,пресс
1775165813770,407,-141,0,пресс
1775165813770,407,-178,0,пресс
1775165813771,407,-188,0,пресс
1775165813771,407,-91,0,пресс
1775165813771,407,-128,0,пресс
1775165813772,407,-257,0,пресс
1775165813773,407,-173,0,пресс
1775165813773,407,158,0,пресс
1775165813774,407,341,0,пресс
1775165813774,407,-29,0,пресс
1775165813775,407,-441,0,пресс
1775165813775,407,-346,0,пресс
1775165813776,407,-195,0,пресс
1775165813776,407,-275,0,пресс
1775165813776,407,-324,0,пресс
1775165813777,407,-284,0,пресс
1775165813777,407,-275,0,пресс
1775165813778,407,-287,0,пресс
1775165813778,407,-304,0,пресс
1775165813778,407,-327,0,пресс
1775165813779,407,-322,0,пресс
1775165813779,407,-307,0,пресс
1775165813780,407,-317,0,пресс
1775165813780,407,-334,0,пресс
1775165813781,407,-339,0,пресс
1775165813781,407,-337,0,пресс
1775165813782,407,-319,0,пресс
1775165813782,407,-314,0,пресс
1775165813783,407,-317,0,пресс
1775165813783,407,-304,0,пресс
1775165813784,407,-277,0,пресс
1775165813784,407,-240,0,пресс
1775165813784,407,-218,0,пресс
1775165813785,407,-198,0,пресс
1775165813785,407,-166,0,пресс
1775165813786,407,-156,0,пресс
1775165813786,407,-163,0,пресс
1775165813787,407,-180,0,пресс
1775165813787,407,-232,0,пресс
1775165813787,407,-282,0,пресс
1775165813788,407,-294,0,пресс
1775165813789,407,-312,0,пресс
1775165813789,407,-346,0,пресс
1775165813790,407,-349,0,пресс
1775165813790,407,-332,0,пресс
1775165813791,407,-337,0,пресс
1775165813791,407,-349,0,пресс
1775165813792,407,-346,0,пресс
1775165814376,407,-327,0,пресс
1775165814376,407,-319,0,пресс
1775165814378,407,-339,0,пресс
1775165814379,407,-341,0,пресс
1775165814379,407,-322,0,пресс
1775165814380,407,-312,0,пресс
1775165814381,407,-337,0,пресс
1775165814381,407,-381,0,пресс
1775165814382,407,-366,0,пресс
1775165814383,407,-297,0,пресс
1775165814383,407,-287,0,пресс
1775165814384,407,-344,0,пресс
1775165814384,407,-369,0,пресс
1775165814385,407,-327,0,пресс
1775165814385,407,-247,0,пресс
1775165814386,407,-232,0,пресс
1775165814386,407,-260,0,пресс
1775165814386,407,-210,0,пресс
1775165814387,407,-175,0,пресс
1775165814387,407,-247,0,пресс
1775165814388,407,-309,0,пресс
1775165814388,407,-275,0,пресс
1775165814389,407,-218,0,пресс
1775165814390,407,-223,0,пресс
1775165814390,407,-235,0,пресс
1775165814391,407,-223,0,пресс
1775165814391,407,-255,0,пресс
1775165814392,407,-284,0,пресс
1775165814392,407,-230,0,пресс
1775165814392,407,-193,0,пресс
1775165814393,407,-255,0,пресс
1775165814393,407,-280,0,пресс
1775165814394,407,-183,0,пресс
1775165814394,407,-143,0,пресс
1775165814395,407,-242,0,пресс
1775165814395,407,-250,0,пресс
1775165814395,407,-141,0,пресс
1775165814396,407,-158,0,пресс
1775165814396,407,-205,0,пресс
1775165814397,407,-180,0,пресс
1775165814397,407,-240,0,пресс
1775165814398,407,-329,0,пресс
1775165814398,407,-220,0,пресс
1775165814399,407,91,0,пресс
1775165814399,407,366,0,пресс
1775165814400,407,193,0,пресс
1775165814400,407,-227,0,пресс
1775165814401,407,-282,0,пресс
1775165814401,407,-168,0,пресс
1775165814401,407,-235,0,пресс
1775165814402,407,-242,0,пресс
1775165814402,407,-175,0,пресс
1775165814403,407,-227,0,пресс
1775165814403,407,-237,0,пресс
1775165814404,407,-168,0,пресс
1775165814404,407,-180,0,пресс
1775165814405,407,-237,0,пресс
1775165814405,407,-218,0,пресс
1775165814406,407,-146,0,пресс
1775165814406,407,-141,0,пресс
1775165814407,407,-203,0,пресс
1775165814407,407,-178,0,пресс
1775165814408,407,-71,0,пресс
1775165814408,407,-81,0,пресс
1775165814409,407,-170,0,пресс
1775165814409,407,-153,0,пресс
1775165814410,407,-49,0,пресс
1775165814410,407,-22,0,пресс
1775165814410,407,-79,0,пресс
1775165814411,407,2,0,пресс
1775165814411,407,121,0,пресс
1775165814412,407,24,0,пресс
1775165814412,407,-47,0,пресс
1775165814602,407,-47,0,пресс
1775165814603,407,-47,0,пресс
1775165814604,407,-47,0,пресс
1775165814605,407,-47,0,пресс
1775165814605,407,-47,0,пресс
1775165814606,408,-47,0,пресс
1775165814606,408,-47,0,пресс
1775165814607,407,-47,0,пресс
1775165814607,406,-47,0,пресс
1775165814608,406,-47,0,пресс
1775165814871,406,14,0,пресс
1775165814871,406,-29,0,пресс
1775165814872,406,-126,0,пресс
1775165814873,406,-128,0,пресс
1775165814874,406,-126,0,пресс
1775165814875,406,-193,0,пресс
1775165814876,406,-245,0,пресс
1775165814876,406,-220,0,пресс
1775165814877,406,-193,0,пресс
1775165814877,406,-220,0,пресс
1775165814877,406,-255,0,пресс
1775165814878,406,-218,0,пресс
1775165814878,406,-188,0,пресс
1775165814879,406,-250,0,пресс
1775165814880,406,-277,0,пресс
1775165814880,406,-213,0,пресс
1775165814881,406,-208,0,пресс
1775165814881,406,-272,0,пресс
1775165814882,406,-282,0,пресс
1775165814882,406,-245,0,пресс
1775165814882,406,-245,0,пресс
1775165814883,406,-287,0,пресс
1775165814883,406,-289,0,пресс
1775165814884,406,-262,0,пресс
1775165814884,406,-267,0,пресс
1775165814885,406,-284,0,пресс
1775165814885,406,-284,0,пресс
1775165814886,406,-287,0,пресс
1775165814886,406,-289,0,пресс
1775165814887,406,-280,0,пресс
1775165814887,406,-282,0,пресс
1775165814888,406,-322,0,пресс
1775165814889,406,-341,0,пресс
1775165814889,406,-312,0,пресс
1775165814890,406,-312,0,пресс
1775165814890,406,-349,0,пресс
1775165814890,406,-374,0,пресс
1775165814891,406,-396,0,пресс
1775165814891,406,-394,0,пресс
1775165814892,406,-381,0,пресс
1775165814892,406,-394,0,пресс
1775165814893,406,-391,0,пресс
1775165814893,406,-359,0,пресс
1775165814893,406,-337,0,пресс
1775165814894,406,-334,0,пресс
1775165814894,406,-349,0,пресс
1775165814895,406,-344,0,пресс
1775165814895,406,-307,0,пресс
1775165814896,406,-304,0,пресс
1775165814896,406,-309,0,пресс
1775165814897,406,-267,0,пресс
1775165814897,406,-255,0,пресс
1775165814898,406,-309,0,пресс
1775165814898,406,-322,0,пресс
1775165814898,406,-136,0,пресс
1775165814899,406,223,0,пресс
1775165814899,406,277,0,пресс
1775165814900,406,-166,0,пресс
1775165814900,406,-448,0,пресс
1775165814901,406,-319,0,пресс
1775165814901,406,-242,0,пресс
1775165814901,406,-312,0,пресс
1775165814902,406,-332,0,пресс
1775165814902,406,-322,0,пресс
1775165814903,406,-317,0,пресс
1775165814903,406,-297,0,пресс
1775165814904,406,-299,0,пресс
1775165814904,406,-324,0,пресс
1775165814905,406,-324,0,пресс
1775165814905,406,-309,0,пресс
1775165814906,406,-297,0,пресс
1775165814906,406,-294,0,пресс
1775165814907,406,-299,0,пресс
1775165815412,406,-287,0,пресс
